dates,77470,76430,76500,76900,161530,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8019,8025,8414A,8416,8500A,9981A,0016A,76,0200E,B893,B278,B228,B954
1981-03-09,6.131,6.125,10.904,2.52,2.779,2.132,4.407,3.068,3.919,2.422,4.064,3.053,7.561,12.407,11.428,4.13,4.13,6.444,3.656,3.842,3.401,5.922,6.186,3.336,1.001,2.145,1.089,5.137,2.097,2.097,3.808,4.094,2.895,2.009,2.009,3.034,4.333,4.333,1.375
1981-03-10,4.599,8.771,14.898,6.451,3.385,5.581,2.78,4.728,5.392,3.132,9.954,6.338,15.855,16.482,16.723,11.877,11.877,10.09,1.705,5.68,5.616,6.301,9.575,1.479,1.561,2.956,6.463,8.404,6.025,6.025,4.502,5.14,7.771,5.782,5.782,5.844,5.702,5.702,4.487
1981-03-11,6.879,15.77,10.74,16.236,14.923,10.767,6.271,6.948,12.251,10.894,10.018,8.366,14.261,19.533,22.148,14.836,14.836,9.803,4.999,6.018,5.611,8.456,12.656,4.31,2.689,3.629,5.832,6.21,9.379,9.379,5.988,7.124,9.821,12.171,12.171,8.664,6.808,6.808,6.951
1981-03-12,21.455,16.577,21.384,19.621,26.17,16.396,10.162,10.49,20.339,21.755,14.022,13.922,27.584,35.463,41.86,23.686,23.686,18.914,9.622,12.63,11.592,12.838,12.576,8.285,6.339,10.689,13.062,9.582,17.647,17.647,14.481,14.237,17.877,19.939,19.939,15.084,15.081,15.081,15.076
1981-03-13,11.431,15.22,24.144,24.9,3.546,12.748,11.368,9.474,22.57,23.647,13.48,15.746,47.269,47.277,61.692,22.109,22.109,25.904,8.775,9.024,7.616,13.486,14.646,8.295,1.459,8.733,10.725,6.716,12.17,12.17,9.218,14.586,16.184,12.716,12.716,14.647,14.951,14.951,11.487
1981-03-14,2.423,5.62,8.317,12.287,6.831,4.915,4.195,3.541,9.88,9.978,6.801,7.359,22.107,22.998,27.503,6.867,6.867,6.427,8.063,9.794,10.036,13.792,11.474,2.601,10.3,2.201,2.256,3.134,2.998,2.998,2.142,4.978,3.429,2.743,2.743,5.378,4.248,4.248,2.232
1981-03-15,8.972,9.954,7.581,16.452,21.708,4.257,3.88,4.544,5.494,12.244,9.344,9.828,5.868,3.289,9.655,5.365,5.365,5.952,5.065,5.377,2.781,7.718,7.051,3.552,10.744,3.563,9.985,7.623,10.552,10.552,3.957,6.273,12.053,5.467,5.467,5.305,7.185,7.185,6.897
1981-03-16,6.354,10.625,14.315,15.174,7.303,7.123,6.233,5.125,11.229,9.164,4.273,5.24,26.587,21.318,28.542,5.342,5.342,8.776,6.325,5.415,6.884,7.411,11.136,2.345,2.536,3.151,4.255,5.63,3.849,3.849,2.657,3.368,5.925,5.75,5.75,3.708,3.302,3.302,2.286
1981-03-17,23.953,9.337,20.313,15.683,15.517,6.985,10.007,9.386,9.336,7.743,9.121,9.832,20.015,15.375,21.534,3.736,3.736,4.816,13.872,10.67,6.984,3.97,4.383,13.192,5.453,17.732,16.502,13.192,12.327,12.327,4.916,11.762,8.92,8.623,8.623,5.194,6.139,6.139,6.956
1981-03-18,39.283,27.106,46.537,11.812,8.821,2.488,5.968,6.193,12.187,12.118,21.397,18.08,13.95,18.152,21.099,29.741,29.741,25.97,6.12,18.151,15.325,18.482,18.182,5.09,4.973,14.099,16.48,11.691,12.939,12.939,13.323,20.09,14.388,16.799,16.799,23.542,18.117,18.117,18.713
